Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,211.328000,-11.938000,90.000000,bottom
C2,0.1uF,C_0603_1608Metric,212.765008,-20.360008,135.000000,bottom
C3,0.1uF,C_0603_1608Metric,215.900000,-26.302000,270.000000,bottom
C4,0.1uF,C_0603_1608Metric,224.663000,-20.955000,315.000000,bottom
C5,0.1uF,C_0603_1608Metric,217.764992,-12.867008,45.000000,bottom
C6,0.1uF,C_0603_1608Metric,218.821000,-10.668000,135.000000,bottom
C7,1uF,C_0603_1608Metric,216.662000,-11.811000,45.000000,bottom
C8,22pF,C_0603_1608Metric,225.425000,-15.621000,45.000000,bottom
C9,22pF,C_0603_1608Metric,226.822000,-13.716000,315.000000,bottom
D_1,D,D_SOD-123,18.050000,-10.279000,90.000000,bottom
D_2,D,D_SOD-123,37.100000,-10.279000,90.000000,bottom
D_3,D,D_SOD-123,56.150000,-10.279000,90.000000,bottom
D_4,D,D_SOD-123,75.200000,-10.279000,90.000000,bottom
D_5,D,D_SOD-123,94.250000,-10.279000,90.000000,bottom
D_6,D,D_SOD-123,113.300000,-10.279000,90.000000,bottom
D_7,D,D_SOD-123,132.350000,-10.279000,90.000000,bottom
D_8,D,D_SOD-123,151.400000,-10.279000,90.000000,bottom
D_9,D,D_SOD-123,170.450000,-10.279000,90.000000,bottom
D_10,D,D_SOD-123,189.500000,-10.279000,90.000000,bottom
D_11,D,D_SOD-123,192.024000,-10.287000,90.000000,bottom
D_12,D,D_SOD-123,234.748750,-10.275000,90.000000,bottom
D_13,D,D_SOD-123,20.431250,-29.329000,90.000000,bottom
D_14,D,D_SOD-123,41.862500,-29.329000,90.000000,bottom
D_15,D,D_SOD-123,60.912500,-29.329000,90.000000,bottom
D_16,D,D_SOD-123,79.962500,-29.329000,90.000000,bottom
D_17,D,D_SOD-123,99.012500,-29.329000,90.000000,bottom
D_18,D,D_SOD-123,118.067500,-29.337000,90.000000,bottom
D_19,D,D_SOD-123,137.112500,-29.329000,90.000000,bottom
D_20,D,D_SOD-123,156.162500,-29.329000,90.000000,bottom
D_21,D,D_SOD-123,175.212500,-29.329000,90.000000,bottom
D_22,D,D_SOD-123,194.262500,-29.329000,90.000000,bottom
D_23,D,D_SOD-123,207.899000,-29.337000,90.000000,bottom
D_24,D,D_SOD-123,233.172000,-26.162000,0.000000,bottom
D_25,D,D_SOD-123,22.812500,-48.379000,90.000000,bottom
D_26,D,D_SOD-123,46.625000,-48.379000,90.000000,bottom
D_27,D,D_SOD-123,65.675000,-48.379000,90.000000,bottom
D_28,D,D_SOD-123,84.725000,-48.379000,90.000000,bottom
D_29,D,D_SOD-123,103.775000,-48.379000,90.000000,bottom
D_30,D,D_SOD-123,122.830000,-48.387000,90.000000,bottom
D_31,D,D_SOD-123,141.875000,-48.379000,90.000000,bottom
D_32,D,D_SOD-123,160.925000,-48.379000,90.000000,bottom
D_33,D,D_SOD-123,179.975000,-48.379000,90.000000,bottom
D_34,D,D_SOD-123,199.025000,-48.379000,90.000000,bottom
D_35,D,D_SOD-123,218.075000,-48.379000,90.000000,bottom
D_36,D,D_SOD-123,239.511250,-38.100000,90.000000,bottom
D_37,D,D_SOD-123,20.431250,-67.429000,90.000000,bottom
D_38,D,D_SOD-123,46.625000,-67.429000,90.000000,bottom
D_39,D,D_SOD-123,72.823750,-67.425000,90.000000,bottom
D_40,D,D_SOD-123,127.592500,-67.437000,90.000000,bottom
D_41,D,D_SOD-123,146.642500,-67.437000,90.000000,bottom
D_42,D,D_SOD-123,174.498000,-67.429000,90.000000,bottom
D_43,D,D_SOD-123,203.787500,-67.429000,90.000000,bottom
D_44,D,D_SOD-123,222.837500,-67.429000,90.000000,bottom
D_45,D,D_SOD-123,241.427000,-67.425000,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,209.423000,-12.065000,90.000000,bottom
R1,5.1k,R_0603_1608Metric,216.916000,-8.255000,90.000000,bottom
R2,5.1k,R_0603_1608Metric,210.312000,-8.255000,90.000000,bottom
R3,22,R_0603_1608Metric,212.852000,-11.938000,90.000000,bottom
R4,22,R_0603_1608Metric,214.376000,-11.938000,90.000000,bottom
R5,10k,R_0603_1608Metric,217.678000,-26.289000,90.000000,bottom
R6,10k,R_0603_1608Metric,229.235000,-20.320000,0.000000,bottom
SW1,SW_Push,SKQG-1155865,236.474000,-18.542000,0.000000,bottom
U1,PRTR5V0U2X,SOT143B,213.614000,-8.255000,180.000000,bottom
U2,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,218.440000,-19.050000,315.000000,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,213.106000,2.413000,0.000000,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,223.139000,-13.716000,135.000000,bottom